review,polarity,division
first didnt expect sound quality afterall think smart home capabilities but receive sound quality unexpected bass great voice recognition also good but need improvement,0.3393,positive
first echo own far love everything list news update link calendar play music convenient hopefully future will buy products control like thermostat light say wonder world amazon product not control amazon fire stick fustraiting hope amazon will come update soon will allow echo option seem like literally control everything except fire stick give star,0.275,positive
first experience smart speakeri live echo dot,0.2002,positive
first face difficult install customer care help enjoy thank u amazon,0.05,positive
first impression last impression really echo best companion time sound really good rich bass treble everything need rock floorreally appreciate people work behind projectreally amazon cheer,0.2639,positive
first inbuilt battery connect internet bluetooth bite slow otherwise fine,0.1222,positive
first look echo dot think would small but size good sound also superbjust ai if ask question will not answer crisp clear get google otherwise entertainment best connectivity also easy,0.372,positive
first no dislike affordable price best setup little difficult,0.1406,positive
first smart device work great no complaints work well smart bulbssetup incredibly simple easy good sound quality easily recognize voice command,0.3828,positive
first smart speaker,0.2321,positive
first smart speaker,0.2321,positive
first smart speaker really amaze use love thank amazon able recognize query even year old kid wonderful,0.3949,positive
first smart speakerthis launch get product plus reduce price due sale nice smart bulb rupees overall think super value money havent use smart speaker but happy purchase observations initially feel bite weird talk speaker but get use no time sound quality pretty good get good depth sound decent bass several skills available will definitely find useful example add stuff shop list set reminder understand indian accent well sometimes amaze well pick stuff kid love add advantage take help homework talk alexa also motivate talk english,0.232,positive
first thing happy amazon deliverythe product hand order even not prime member good super fast delivery compare othershere review use weekecho dot alexa product good conditionfeatures smart play variety music mind alexa tell whether info news reminder alarm single statement speak feel smartness talk alexa yr son also like speak alexa ask play songs like overall happy product,0.4637,positive
first time buy alexa enable deviceand say frankly family enjoy alexa family member,0.375,positive
five star,0,neutral
follow mode not workingtried every troubleshootingmay product bugreturning itfollow mode important feature alexa use tv day day questionsnot always respond ur voice u give continuous command one anotherall things work fine,0.2979,positive
food,0,neutral
fraud products experience badalaxa voice issue connect issue work slow,-0.095,negative
friend forever,0,neutral
friendly product,0.4875,positive
frnd make china,0,neutral
frustrate feature alexa annoy announcement connect bluetooth every time connect device no way disable people cry years amazon not listeningother much better comparison google home mini comparison voice quality search,-0.08,negative
fulfill need control smart home gadgets,0.2143,positive
fully honest reviewok echo dot great smart speaker great abilitiesprosit control almost every smart home devicespeaker quality greathave hundreds skillsspeaks hindi wellcan buy products amazonmic really awesome hear another rooma really good feature talk hindi english time like give command english give next command hindiher voice better google assistantcoordinates wellgood children wellcan control alexa devices wellconssome time not wake say wakeup word time wake upi dont know remove zomato skill good skillsometimes listen wrongstarsalexa quality home control reviewa great smart speaker but will suggest buy echo instead echo dotthats folks,0.4011,positive
fun,0.3,positive
fun buy if u never alexa experience,0.3,positive
fun days but start get bore feel useless im return,-0.2333,negative
fun entertain thank wonderful product,0.5,positive
fund throughout day device,0,neutral
funvoice operate player,0,neutral
gazab,0,neutral
gd,0,neutral
gd,0,neutral
gd but bulb connection poor,-0.4,negative
gen echo dotgood entertainmentand j integrate device smart ir remote wifi bulbboth work well,0.0571,positive
generation alexa not connect,0,neutral
genuine product,0.4,positive
get alexa gen free purchase oneplus tv last week simply awesome yrs old kid love n command alexa play songs recognise word,0.375,positive
get alexa part package never new good would definitely recommend others sound quality amaze new echo dot,0.2947,positive
get awesome price segment favorite alexa,0.75,positive
get best experience put speaker ear level,1,positive
get better product price,0.5,positive
get combo offer mi robot plus alexa total price rs awesome,0.5,positive
get device wipro smart bulb freedom sale think good dealsound quality speaker awesomevery loud good amount bass produce fill roomsoftware not great voice recognition poorsometimes wont respondsresponses limit time doesnt respond make go madyou create routines like editable alexa appaux connectivity help connect home theater,0.3302,positive
get echo device but no adpater plug,0,neutral
get echo dot add smart bulb cart cost total sound quality best categorysmart speakersbluetooth connectivity pair bluetooth speaker need patience bcoz time doesnt recognizealexa task could better,0.3556,positive
get echo dot offer excite use but voice recognition not work try restart do troubleshoot step but no use place replacement let see happensthe main feature app echo dot alexa but not woorking,0.2708,positive
get error sorry trouble understand right switch off wifi modem router get thing,-0.1036,negative
get faulty product light minsthen go offthere no orange lighttotally dissatisfy minsreturn status apply return day product deliver next day get sms state pick time schedule pm ridiculous would amazon pickup service want someone home whole day receive pick guy wait till leave imp service sms send morning hrs approx pickup time would meaningful totally cheat lethargic,0.0824,positive
get friend receive product time sad hate amazon seller,-0.3625,negative
get great indian festival offer think value price range alexa reponse fast,0.53,positive
get great indian festival sale im love much fun make life easier,0.5667,positive
get great price sound quality top notch bass also goodonly concern play music prime member amazon use iheartradio jiosaavan but cant sync media playersbluetooth connectivity also good,0.3542,positive
get help bad internet connection not able update alexa not able use grt help plz,-0.47,negative
get last year amazon great indian sale almost year use will say still work great,0.5333,positive
get multi color bulb also work good,0.7,positive
get offer along smart light great sometimes take time search songs but rest great though lack feature like map integration but happy offer however if battery backup will great,0.5592,positive
get offer best assistance star less alexa eco dot recommend star,0.4167,positive
get offer easy work,0.5633,positive
get offer prime members worth every penny useful especially if want listen songs drive,0.23,positive
get one prime day sale use month reviewpros excellent speaker standalone speaker smart device price point get prime day alexa almost no trouble recognize voice rarely falter plus integration amazon ecosystem place order track deliveries also receive news update via eco dot bluetooth even use bluetooth speaker ipad phone great job need power source thoughcons portability removable usb cable adapter would enable much wider usage battery bank power one command time can not execute command one go like switch light play music will need say alexa time bite abrupt time start stop music etcverdict brilliant smart speaker home use great price point,0.4078,positive
get parcel today order husband love muchthank u amazon,0.45,positive
get pause play within every second,0,neutral
get prodicts delivery yesterday happy product but play amazon playlist need wifi evrytime work,0.4,positive
get product offer basis product good but issue find one alexa not recognise voice clearly second one not play correctly ask might send refurbish item actually dont know reg issue saw friends alexaecho dot really not satisfy product,0.11,positive
get replace but not work feed performance ask amazon replace eco dot generation will pay difference but not agree will pay difference amount will occur get new generation eco dot,0.2121,positive
get sale best one go sound amaze,0.6667,positive
get sale great price wipro bulb product undoubtedly excellent work like charmcalling feature great easy,0.7908,positive
get steal price sound better expect recognize voice command welldefinitely buy another even if pay double price pay,0.2,positive
get time sale use google mini use google think upgrade check alexa good well bad google different term alexa better far field recognition but think order save money amazon make cut off alexa generation literally understand say time timeswell overall good package price rangesound awesome,0.2875,positive
get use product never expect amazon seal open even product not good doesnt work without power doesnt work without wifi time,-0.1,negative
get wipro smart bulb,0.2143,positive
get wipro smart lead include thank amazon,0.1381,positive
gift alexa friend birthday love,0.6,positive
gift family love if explore certainly really good feature sound quality good well mean good single room,0.3923,positive
gift good age wish gujarati language option available although combination english hindi option no issue non english speakers nice passtime seniors wish amazon make work unplug,0.3467,positive
gift mother birthday year shes lot fun discover many new feature great way ease parent iot,0.4473,positive
gift nephew like much,0.4333,positive
gift niece fascinate product ai reply question,0.5,positive
gift parent love sound quality good,0.525,positive
give asa present loveit,0,neutral
give base initial pointspackage doesnt air packets expect proper packageit say generation but still not aux cable charge optionprossound clarity really goodgo if music loveralmost recognise voice,0.0667,positive
give battery platforms access,-0.125,negative
glad bring alexa home like new family member always listen help us entertain us well control smart devices smartly,0.3037,positive
go,0,neutral
go,0,neutral
go access wifi bluetooth enable devices sofa,0,neutral
go first buy self order one gift relative,0.25,positive
go guy integrate tv ac light make things different home also ask anything nearby room also alexa answer play songs mom news dad start add new feature become funyes one thing interact become better,0.2841,positive
go without think love,0.7,positive
god,0,neutral
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.91,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.91,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.91,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good,0.7,positive
good ai,0.7,positive
good ai speakerliked device muchhindi need improvement deviceas device get older voicesound decrease gradually,0.3556,positive
good alexa device satisfy amazon thank amazon,0.705,positive
good aspects,0.91,positive
good aspects mention,0.7,positive
good best alexa device,0.955,positive
good best smart speaker good price,0.6536,positive
good bluetooth connectivity,0.7,positive
good bluetooth connectivity issue time,0.7,positive
good bluetooth connectivity sound quality need improvement still worth buy alexa integration good,0.5775,positive
good budget smart speaker quality sound good room party not worthy huge room,0.3746,positive
good build quality value money,0.7,positive
good but always need wifi not sooo much use full children,0.4167,positive
good but app hang new one plus suppose alexa enable phonewhich annoyingill soon switch google devices if isnt rectify,0.3455,positive
good but cant play another song youtube even cant read lesson say one answer dont know close dont read wikipedia one sentence give information like google please request add function alexa make update alexa app mobile update alexa hope see work,0.35,positive
good but device something like phone if steal get know location device use add facility,0.7,positive
good but disappoint see make china,-0.025,negative
good but expections high accord compact speaker,0.43,positive
good but improve,0.91,positive
good but improve hindi language,0.7,positive
good but improve lot,0.7,positive
good but lag lot days dont know reason,0.7,positive
good but make easier installation,0.7,positive
good but manu new service develop,0.3121,positive
good but need add local languages,0.35,positive
good but need apps every thing like media movies need external cable work wifi ai still develop way get adjust accord userat first product little disappoint but okay still feature develop ease usage like command work long distance bluetooth products,0.0736,positive
good but need assist already use echo,0.7,positive
good but not bad sometimes happy but sometimes time alexa tell dont know,0.6167,positive
good but not best lot things improve amazon alexa always take single command repeat conversation,0.0321,positive
good but not search like google maximum time reply dont knowlimited news radio station improvement require if want know one alexa reply dont know but google always tell,0.705,positive
good but one problem difficulty connect,0.7,positive
good but product durability doubt not good,0.175,positive
good but sometimes cant find right thing specially song,0.4476,positive
good buy,0.7,positive
good buy price speaker quality good alexa good skillset conversations improve not connect previous next statements otherwise great companion,0.5239,positive
good buy worth money,0.5,positive
good choice smart device control room go guy,0.4571,positive
good compact design easy travel sound quality excellentinnovation good,0.5583,positive
good companion alone,0.91,positive
good companionwith interest featruesif fan room high speed take second time capture command,0.34,positive
good condition six months,0.7,positive
good connectivity easy connect bluthooth speaker bulb,0.7367,positive
good could not explore full functionality due restrictions,0.3083,positive
good deal sale get along wipro smart bulb,0.4571,positive
good deal smart bulb,0.5621,positive
good design bite play music speak loudly give instructions near alexa dot,0.32,positive
good device,0.91,positive
good device,0.7,positive
good device but doesnt recognize command devotional songs play list recognize preloaded,0.35,positive
good device but songs not recognise buy gadget not play otherwise best product buy sound quality voice recognition reaction command quality best happy product,0.78,positive
good device dont understand tough would integrate battery worse power adapter not industry standard microusb type c amazons way make people dependent proprietary power adapter eliminate chance power power bank,-0.0222,negative
good device keep kid engage,0.7,positive
good device learn,0.7,positive
good device need little improvements alexa recognise songs ask,0.2562,positive
good device say toy work exactly promise no complaints therebutthis like toy day buy excite use but eventually interest fade lie around house use time listen music nothing kab tak aap use weather ya news puchoge ya bate karoge even fire tv stick pair use voice command but not perfect search end use remote even wipro smart bulb but story remians sameyou will eventually week case get bore toy,0.1724,positive
good devise good support,0.805,positive
good dlfor parchace,0.7,positive
good echo dot,0.7,positive
good enjoy,0.55,positive
good enough,0.35,positive
good enough,0.35,positive
good entertain product,0.6,positive
good entertain user friendly equipment,0.595,positive
good everyone like funny familiar,0.5117,positive
good everything device good,0.7,positive
good experiance,0.7,positive
good experience,0.7,positive
good experience,0.91,positive
good experience but application confuse no digital wellbeing parental control like google voice not much clearer but bass impressivesome improvements require good,0.15,positive
good experience product,0.7,positive
good experiencealso like suggest introduce automatic intelligence update system experience latest technology overall satisfy,0.425,positive
good experiencegood sound qualityu also operate ur smart gadgets thiswhen u ask funny question alexa hindishe reply funny waythat soo interest product andat night u talk wishpershe reply waythat soo cooli lik productmust buy,0.3306,positive
good faster response awesome sound quality size speaker awesome light animationscons connect oneplus tv difficulthurdleif phone interconnect bluetooth drain phone battery,0.775,positive
good fr usingsome time helpfull also,0.7,positive
good friend alone keep remind list,0.7,positive
good frodect,0.7,positive
good fully satisfy,0.6,positive
good function good voice clarity,0.4667,positive
good gadget smart home if many smart devices will good,0.4657,positive
good genuine product,0.655,positive
good good clear sound system,0.5275,positive
good good product go no dought useful gadget,0.6667,positive
good good response still learn sometimes delay response,0.7,positive
good hardware speaker easy handle happy,0.8244,positive
good hardwarebad software,0.7,positive
good help full deviceyou connect internet use time install alexa app mobileit comment base automatically devicesound quality verry beautifulbut not carry device direct charge not inbuilt batteryprise standardyou connect also blutooth without internet play download movies song mobile phone,0.07,positive
good home kid love need add skills ask relate question order smart bulb also add skill take minute ask alexa switch off change colorwowamazing overall must buy product,0.3029,positive
good improvement need,0.7,positive
good initiative learn lot alexa,0.7,positive
good integration fire tv stick alexa connect devices,0.2875,positive
good interactive device quality speaker easy connect wi fi device especially kid will love alexa,0.3277,positive
good item,0.7,positive
good job guy,0.7,positive
good keep,0.7,positive
good kid,0.7,positive
good kid home like much sometimes face issue voice recognition if movie name common word multiple languages mix things,0.294,positive
good kid old age people also homemakers get info one second ask alexa enjoy,0.3525,positive
good kid work well,0.7,positive
good learn tool kid do horse around,0.7,positive
good light speaker use dont expect boom yes alexa awesome but buy if use dont go trend,0.7,positive
good like,0.91,positive
good look productnice compact designclear loud sound quality,0.4,positive
good loud soundrecognition faster google home loud google homethis worth money,0.34,positive
good loud volumebeautiful lightsgood voice recognisation,0.4,positive
good love echo devices but base decrease volume full please fix,0.11,positive
good low cost alexa device sound quality average voice recognition good,0.33,positive
good luck,0.7,positive
good music quality update last generation would highly recommend con not better gather info google home,0.17,positive
good must better,0.5667,positive
good n nice,0.65,positive
good nice,0.755,positive
good nice productspeaker nicei get wipro smart bulb,0.5748,positive
good nice workiing echo dot generation,0.755,positive
good one,0.7,positive
good one,0.7,positive
good one,0.7,positive
good one,0.7,positive
good one,0.7,positive
good one,0.7,positive
good one,0.7,positive
good one,0.7,positive
good one but could better,0.6,positive
good one get intelligent every update use auxiliary speakergood quality speaker however install various skills unlock true potential skills free install instal akinator alexa guess person think nice time pass good voice recognition,0.45,positive
good one go,0.7,positive
good one go good one gift,0.7,positive
good one music goodthey enable lte call well,0.7,positive
good onebut need good connectivity othwrwise performance good,0.7,positive
good option smart speaker well integrate amazon music,0.5621,positive
good order enjoy use,0.55,positive
good overall make things easy play music news traffic update etc,0.3778,positive
good pack entertainment fun entertainment time kid well go next version clock display,0.3333,positive
good people want live like tony stark aka iron man,0.2121,positive
good per price but sometimes doesnt understand,0.7,positive
good per price range,0.7,positive
good performance but need songsaudio clarity level awesome,0.7333,positive
good play online songsbut many time fail identify exact song play different songs,0.19,positive
good price,0.7,positive
good price but google assistant better,0.6,positive
good price but sometimes play song doesnt respond yes think will amitabh bacchan voice ans no buy voice rs overall good product bulb also good quality take every command,0.525,positive
good prime music not provide much songs,0.6,positive
good produc,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.91,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product,0.7,positive
good product advertise recommend,0.7,positive
good product affordable price recongnises voice wide variety usage,0.405,positive
good product alex good sound quality must buy,0.67,positive
good product amazon,0.7,positive
good product amazon,0.7,positive
good product amazon,0.91,positive
good product amazon alexa funny assistant will like,0.6175,positive
good product amazon come hat off fun talk alexa alexa provide us day day information though upgradations also require alexa softwarethere one drawback product sound quality improper balance bass treble bass lot compare treble speech clarity decrease decrease treblei hope upcoming echo gen make keep everything mind,0.23,positive
good product amazon intelligent respond also loudness good youll dont need speakers if size room medium small sound quality good bass ok answer thing correctlycons sometimes if youre play song full sound youre not close device shout say things properly if want alexa work properlyvery entertain device use different good ways n work help alot go if youre get good price otherwise go gen one good quality speakers,0.4138,positive
good product amazon like sound quality control home also good design,0.67,positive
good product amazon worth buy need include kannada language along hindi english will become much popular,0.42,positive
good product appreciate thanksi really like,0.45,positive
good product bluetooth speaker but alexa assistant software need improve recognise correct translation if not say right translation say dont no but overall good product,0.4214,positive
good product but alexa must upgrade skills like voice lock continuous conversation cant continue covo alexa thats somewhat disappoint,0.155,positive
good product but bluetooth voice low,0.35,positive
good product but confuse sometimes grat sound quality better google home sound feature google home would great choice,0.4,positive
good product but consider tamil songs time start song,0.35,positive
good product but dont like system charge keep charge every timeif remove charger alexa will get offthere no battery lifewhile travel cant carry us,0.7,positive
good product but if amazon allow alexa search google also search could much better,0.6,positive
good product but ios device easy use android user complicate android userbest device google home mini,0.2111,positive
good product but issue connect internet,0.91,positive
good product but power adapter make thin wire,0.15,positive
good product but sometimes not find exact net,0.3167,positive
good product but sometimes not listen voice volume little highleading irritation sometimes,0.2562,positive
good product but time didnt respond get worth sound quality good but not loud not good base good small room but not big room hall,0.15,positive
good product but time doesnt respond us,0.7,positive
good product but time say sorry didnt get annoy,-0.075,negative
good product buy,0.7,positive
good product buy eoss around make sure buy whenever product cheaper regular price wait amazon big sale period,0.3,positive
good product buy no problem,0.7,positive
good product change ordinary home smart home,0.2914,positive
good product children enjoy lot dance sing play alexa also good old malayalam songs also,0.5525,positive
good product children like product alexa become family member,0.7,positive
good product compact aesthetically sound feature echo model absolutely love kid,0.575,positive
good product doesnt recognise kid voice well,0.45,positive
good product easy install get offer voice recognition excellent even alexa catch year old sons voice rhymesthanks amazon,0.4067,positive
good product easy pair devices sound quality not good expect,0.3347,positive
good product echo dot device alexa recognize voice quickly give reply connect devices also work well echo dot device sound put also loud clear,0.3887,positive
good product ensure will work excellently,0.955,positive
good product entertain,0.675,positive
good product feature however need improve online search,0.91,positive
good product get job do,0.7,positive
good product good auromation music but lack interna battery,0.7,positive
good product good companion lockdown condition,0.7,positive
good product good price but software hang frequently take considerable time respond,0.4075,positive
good product good sound integration etc,0.6,positive
good product great value price sound soft per expectations,0.5,positive
good product home use,0.7,positive
good product household use educational kid functional adults,0.475,positive
good product intelligent skills many morehighly recomended mejai hind,0.6667,positive
good product keep entertain,0.7,positive
good product kid much happy enjoy songs learn also expect english knowledge will also improve,0.5,positive
good product less value,0.3717,positive
good product like,0.7,positive
good product listen music stay update rejoice mood etchowever still feel build weak ai recognize already preloaded pattern,0.1625,positive
good product much like daughter love,0.6333,positive
good product must buy,0.91,positive
good product need add marathi popular news channel like abp maza,0.755,positive
good product nice,0.65,positive
good product no remark till connectivity responsiveness great,0.75,positive
good product not able connect wipro bulb,0.225,positive
good product not portable cant use without plug,0.7,positive
good product original quality,0.5375,positive
good product overall but couldnt connect sound system via bluetooth,0.3667,positive
good product overall satisfy meet expectation area improvementnot able understand request time delay noresponsealso cant restrict voice profile limit one allow,0.2381,positive
good product per expectation if new kinda thing but need improvise voice recognition part catch if not good acsent linguistic language hop speak,0.1466,positive
good product play songs available anazon music not sure if miss thing quality good purchase one gift elder sis,0.2643,positive
good product price,0.91,positive
good product price but major limitation wire connection take secs start anything want listen add ur app time consume activity but overall take yr kid distract mobile phone help enjoy dance well tune,0.2542,positive
good product purchase but if smart appliances like actvlights etc,0.4571,positive
good product purchaseiam happy productmy sons like get product,0.75,positive
good product quality,0.7,positive
good product quality best understand almost command value money,0.955,positive
good product sale,0.7,positive
good product service,0.7,positive
good product service need integrate like reach level google home mini,0.5667,positive
good product smart home,0.4571,positive
good product sound quality star,0.655,positive
good product superficiallly if expect work youtube google will disappoint but yea ask time reminder alarm news popular songs okhad work google youtube man would give star,0.0875,positive
good product thank amazon,0.7,positive
good product thank amazon,0.7,positive
good product use initial problem instal alexa but due understand problem,0.2617,positive
good product useful,0.545,positive
good product value money if really use,0.45,positive
good product wish hear multiple choice songs,0.35,positive
good product work nicely,0.65,positive
good product worth buy,0.5,positive
good product worth money technology great,0.6,positive
good productbut bluetooth connection little time take but niceworth price,0.3612,positive
good productbut sound play maximum volume alexa didnt hear anythingwe need go closer,0.655,positive
good productgood gift item,0.7,positive
good productinitially order rs day suddenly reduce seller canceleld first order immediately order but today independence day sale available configuration network setup tediousbut managedthe process need even simple,0.2312,positive
good productits voice recognition good nearby devicesound quality good wifi connectivity also good device bigger appear website adopter quality better search songs faster google search worth buy,0.5089,positive
good productjust advance technology,0.91,positive
good productjust one thingit not play trampoline zyan malikand many others songs make sad,0.2333,positive
good productmust buy smart home experience thank,0.5621,positive
good productneed add telugu language,0.7,positive
good productnice sound work fine wipro smart bulb,0.4852,positive
good productrequire constant internet conectionsound super,0.3444,positive
good products,0.7,positive
good products,0.7,positive
good products,0.7,positive
good productsound improve much better,0.6,positive
good productuseful english learnersworth pricevoice recognition good,0.4667,positive
good productworth money,0.7,positive
good purchase rs alexa integration mind bogglingsound quality average expect but u connect external speaker bluetooth aux overall nice product,0.24,positive
good quality,0.91,positive
good quality,0.7,positive
good quality,0.91,positive
good quality,0.91,positive
good quality good price,0.805,positive
good quality product,0.7,positive
good quality product,0.7,positive
good quality product,0.7,positive
good quality product unbelievable price,0.33,positive
good quality productgood sound quality not compare jbl sony speakers but better boatwell not bluetooth speaker smartalexa interactive take bite time update skills alexa alot fun also aux output port connect sound system better sound,0.425,positive
good quality products,0.7,positive
good quality sound,0.655,positive
good quality speakers voice recognitionpreferable listen songs,0.7,positive
good quality superb thank amazon,0.85,positive
good qualitynice productbut ask something sometimes alexa not answer,0.7,positive
good quarantine life,0.7,positive
good really attractive fast respond echo devicereceived less price thank alexa,0.3767,positive
good replacement mobie bluetooth speaker specilally child,0.7,positive
good response device moreover easy efficient use,0.5667,positive
good response kid really enjoyable,0.6,positive
good room fill sound price size wish build battery portable,0.55,positive
good service,0.7,positive
good smart speaker but doesnt understand command disappoint factor,0.1048,positive
good smart speaker like alexa,0.4571,positive
good sound,0.55,positive
good sound,0.655,positive
good sound build quality goodmy experience amazingso thank amazon,0.4333,positive
good sound connection wifi,0.55,positive
good sound good quality m happygo,0.6,positive
good sound good voice recognition easy connect net but noo google play music,0.4467,positive
good sound new technology,0.4121,positive
good sound portable,0.55,positive
good sound quality,0.55,positive
good sound quality,0.55,positive
good sound quality better gen but still not much loudother integration goodfulfills command quickly,0.4056,positive
good sound quality but small prblm time time speak one time will response reply,0.3533,positive
good sound quality friendly device,0.5617,positive
good sound quality google nest hub also alexa not smart google,0.2661,positive
good sound quality limit voice skills,0.2571,positive
good sound quality mic full usage possible if devices like switch fan etc smart devices,0.2565,positive
good sound quality recognise voice well but algorithm implement device way need ask question waise will not understand commandexcept everything good,0.335,positive
good sound quality recognition app little slow rest fine kid enjoy,0.2549,positive
good sound quality small pricebuyed amazon prime days,0.212,positive
good sound quality vast collection base alex will get confuse request need reorganize search criteria information different source disadvantage always connect power supply without alex wont work suggest amazon make alex battery enable charge use quite often,-0.0143,negative
good sound quality voice recognition follow need improvement,0.655,positive
good sound qualitygreat microphone andabove voice assistant alexa beyond word product,0.55,positive
good sound qulaity alxa take minute delay respond,0.55,positive
good sound recognition good speaker but need hardwork set device,0.67,positive
good sound respond time lessbest device information music,0.4333,positive
good speak alexa room volume still recognise voice coolyou need buy one device if want make smart like ex make fan light can not need one device tht one problem best part us tht product cost,0.4237,positive
good speaker,0.91,positive
good speaker but limit search amazon musicit need integration options like youtube,0.3762,positive
good speaker but problem can not call anyone contact list unlike google home mini second problem tell price products available amazon,0.3275,positive
good speaker but sound low also hindi language not recognisabl,0.3667,positive
good speaker driver light music,0.55,positive
good speaker low price,0.35,positive
good speaker poor sound recognition,0.2333,positive
good speaker price hope software get little update lead light stay songs playback,0.3612,positive
good speaker songs vibrate desktop try play song time play wrongbut good speaker,0.7,positive
good system but sound quality time not clear nice speaker buy,0.4575,positive
good thing,0.7,positive
good third alexa order daughter love,0.35,positive
good time echo dot nice vry helpful product,0.65,positive
good use,0.7,positive
good useful item,0.65,positive
good useful product love,0.57,positive
good value money easy setup self reminders get quick information internet,0.4889,positive
good verbal command gesture clear surround soundshould recharge provide car charge adapter,0.4,positive
good vocie quality,0.7,positive
good voice,0.91,positive
good voice assistant but limit apps,0.1229,positive
good voice recognition,0.7,positive
good voice recognition good sound quality,0.74,positive
good voice recognition nd sound quality,0.7,positive
good voice recognitionbest sound quality,0.55,positive
good voice recognize portability,0.7,positive
good voice sound,0.55,positive
good work better,0.6,positive
goodand black clouro cool,0.1628,positive
goodbuy,0,neutral
goodreally handy producteasy set upnice sound quality,0.5,positive
goodspeaker quality awesome,1,positive
goodtalks hindi alsovery nice,0.4,positive
goodvalue moneysimple,0.2,positive
goog use full,0.275,positive
google donut but fail miserably echo dot much better however doesnt recognize question but nevertheless good device but smart bulb get tough adjust app still havent able bulb instructions arent veryclear,-0.013,negative
google home alexaalexa work better smart devices respond much quicker request turn light onoff compare ghome clearly lagshowever alexa lag ghome answer question play music ask play music frequently respond saavn not available region play saavn time also response natural language question behind ghomespeaker quality great speaker sensitivity excellentit catch wake word even speak distance ghome lag,0.1536,positive
